economycode,income_category
AFG,1Low
ALB,3UpperMid
DZA,3UpperMid
ASM,3UpperMid
AND,4High
AGO,3UpperMid
ATG,4High
ARG,3UpperMid
ARM,2LowerMid
ABW,4High
AUS,4High
AUT,4High
AZE,3UpperMid
BHS,4High
BHR,4High
BGD,2LowerMid
BRB,4High
BLR,3UpperMid
BEL,4High
BLZ,3UpperMid
BEN,1Low
BMU,4High
BTN,2LowerMid
BOL,2LowerMid
BIH,3UpperMid
BWA,3UpperMid
BRA,3UpperMid
VGB,4High
BRN,4High
BGR,3UpperMid
BFA,1Low
BDI,1Low
CPV,2LowerMid
KHM,2LowerMid
CMR,2LowerMid
CAN,4High
CYM,4High
CAF,1Low
TCD,1Low
CHI,4High
CHL,4High
CHN,3UpperMid
COL,3UpperMid
COM,1Low
COD,1Low
COG,2LowerMid
CRI,3UpperMid
CIV,2LowerMid
HRV,4High
CUB,3UpperMid
CUW,4High
CYP,4High
CZE,4High
DNK,4High
DJI,2LowerMid
DMA,3UpperMid
DOM,3UpperMid
ECU,3UpperMid
EGY,2LowerMid
SLV,2LowerMid
GNQ,3UpperMid
ERI,1Low
EST,4High
SWZ,2LowerMid
ETH,1Low
FRO,4High
FJI,3UpperMid
FIN,4High
FRA,4High
PYF,4High
GAB,3UpperMid
GMB,1Low
GEO,3UpperMid
DEU,4High
GHA,2LowerMid
GIB,4High
GRC,4High
GRL,4High
GRD,3UpperMid
GUM,4High
GTM,2LowerMid
GIN,1Low
GNB,1Low
GUY,3UpperMid
HTI,1Low
HND,2LowerMid
HKG,4High
HUN,4High
ISL,4High
IND,2LowerMid
IDN,2LowerMid
IRN,3UpperMid
IRQ,3UpperMid
IRL,4High
IMN,4High
ISR,4High
ITA,4High
JAM,3UpperMid
JPN,4High
JOR,3UpperMid
KAZ,3UpperMid
KEN,2LowerMid
KIR,2LowerMid
PRK,1Low
KOR,4High
XKX,2LowerMid
KWT,4High
KGZ,2LowerMid
LAO,2LowerMid
LVA,4High
LBN,3UpperMid
LSO,2LowerMid
LBR,1Low
LBY,3UpperMid
LIE,4High
LTU,4High
LUX,4High
MAC,4High
MDG,1Low
MWI,1Low
MYS,3UpperMid
MDV,3UpperMid
MLI,1Low
MLT,4High
MHL,3UpperMid
MRT,2LowerMid
MUS,3UpperMid
MEX,3UpperMid
FSM,2LowerMid
MDA,2LowerMid
MCO,4High
MNG,2LowerMid
MNE,3UpperMid
MAR,2LowerMid
MOZ,1Low
MMR,2LowerMid
"NAM",3UpperMid
NRU,4High
NPL,1Low
NLD,4High
NCL,4High
NZL,4High
NIC,2LowerMid
NER,1Low
NGA,2LowerMid
MKD,3UpperMid
MNP,4High
NOR,4High
OMN,4High
PAK,2LowerMid
PLW,3UpperMid
PAN,3UpperMid
PNG,2LowerMid
PRY,3UpperMid
PER,3UpperMid
PHL,2LowerMid
POL,4High
PRT,4High
PRI,4High
QAT,4High
ROU,3UpperMid
RUS,3UpperMid
RWA,1Low
WSM,2LowerMid
SMR,4High
STP,2LowerMid
SAU,4High
SEN,1Low
SRB,3UpperMid
SYC,4High
SLE,1Low
SGP,4High
SXM,4High
SVK,4High
SVN,4High
SLB,2LowerMid
SOM,1Low
ZAF,3UpperMid
SSD,1Low
ESP,4High
LKA,2LowerMid
KNA,4High
LCA,3UpperMid
MAF,4High
VCT,3UpperMid
SDN,2LowerMid
SUR,3UpperMid
SWE,4High
CHE,4High
SYR,2LowerMid
TWN,4High
TJK,2LowerMid
TZA,1Low
THA,3UpperMid
TLS,2LowerMid
TGO,1Low
TON,2LowerMid
TTO,4High
TUN,2LowerMid
TUR,3UpperMid
TKM,3UpperMid
TCA,4High
TUV,3UpperMid
UGA,1Low
UKR,2LowerMid
ARE,4High
GBR,4High
USA,4High
URY,4High
UZB,2LowerMid
VUT,2LowerMid
VEN,3UpperMid
VNM,2LowerMid
VIR,4High
PSE,2LowerMid
YEM,2LowerMid
ZMB,2LowerMid
ZWE,1Low
